index,name,birth,club,joined_date,place_of_birth,number,height,weight,position
0,Conor Coady,1993-02-25,England,2022-08-08,England,30,185,73,Defender
1,Fikayo Tomori,1997-12-19,England,2021-07-01,England,23,185,75,Defender
2,Harry Maguire,1993-03-05,England,2019-08-05,England,5,194,100,Defender
3,James Justin,1998-02-23,England,2019-06-28,England,2,183,80,Defender
4,John Stones,1994-05-28,England,2016-08-09,England,5,188,70,Defender
5,Kieran Trippier,1990-09-19,England,2022-01-07,England,2,178,71,Defender
6,Kyle Walker,1990-05-28,England,2017-07-14,England,2,178,70,Defender
7,Marc Guehi,2000-07-13,England,2021-07-18,England,6,182,82,Defender
8,Reece James,1999-12-08,England,2019-05-15,England,24,182,82,Defender
9,Trent Alexander-Arnold,1998-10-07,England,2015-07-01,England,66,175,69,Defender
10,Harry Kane,1993-07-28,England,2009-07-01,England,10,188,86,Forward
11,Jarrod Bowen,1996-12-20,England,2020-01-31,England,20,175,70,Forward
12,Raheem Sterling,1994-12-08,England,2022-07-13,England,17,170,69,Forward
13,Tammy Abraham,1997-10-02,England,2021-08-17,England,9,190,80,Forward
14,Aaron Ramsdale,1998-05-14,England,2021-08-20,England,1,188,77,Goalkeeper
15,Jordan Pickford,1994-03-07,England,2017-07-01,England,1,185,77,Goalkeeper
16,Nick Pope,1992-04-19,England,2022-06-23,England,22,191,76,Goalkeeper
17,Bukayo Saka,2001-09-05,England,2018-11-28,England,7,178,65,Midfielder
18,Conor Gallagher,2000-02-06,England,2021-07-27,England,23,182,0,Midfielder
19,Declan Rice,1999-01-14,England,2016-06-01,England,41,185,76,Midfielder
20,Jack Grealish,1995-09-10,England,2021-08-05,England,10,175,68,Midfielder
21,James Ward-Prowse,1994-11-01,England,2011-07-01,England,8,173,66,Midfielder
22,Jude Bellingham,2003-06-29,England,2020-07-23,England,22,186,75,Midfielder
23,Kalvin Phillips,1995-12-02,England,2022-07-04,England,4,178,72,Midfielder
24,Mason Mount,1999-01-10,England,2019-07-01,England,19,178,70,Midfielder
25,Phil Foden,2000-05-28,England,2016-12-05,England,47,171,70,Midfielder
26,Antonio Ruediger,1993-03-03,Germany,2022-07-01,Germany,22,190,85,Defender
27,Benjamin Henrichs,1997-02-23,Germany,2021-07-01,Germany,39,183,79,Defender
28,David Raum,1998-04-22,Germany,2022-07-31,Germany,22,180,75,Defender
29,Jonathan Tah,1996-02-11,Germany,2015-07-16,Germany,4,195,98,Defender
30,Lukas Klostermann,1996-06-03,Germany,2014-08-22,Germany,16,187,88,Defender
31,Nico Schlotterbeck,1999-12-01,Germany,2022-07-01,Germany,4,191,86,Defender
32,Niklas Suele,1995-09-03,Germany,2022-07-01,Germany,25,195,99,Defender
33,Thilo Kehrer,1996-09-21,Germany,2022-08-17,Germany,24,186,76,Defender
34,Jamal Musiala,2003-02-26,Germany,2020-06-12,Germany,42,180,68,Forward
35,Karim Adeyemi,2002-01-18,Germany,2022-07-01,Germany,27,180,68,Forward
36,Leroy Sane,1996-01-11,Germany,2020-07-15,Germany,10,183,80,Forward
37,Lukas Nmecha,1998-12-14,Germany,2021-07-16,Germany,10,185,80,Forward
38,Serge Gnabry,1995-07-14,Germany,2017-07-01,Germany,7,176,77,Forward
39,Thomas Mueller,1989-09-13,Germany,2008-07-01,Germany,25,185,76,Forward
40,Timo Werner,1996-03-06,Germany,2022-08-09,Germany,11,180,75,Forward
41,Kevin Trapp,1990-07-08,Germany,2019-08-07,Germany,1,189,88,Goalkeeper
42,Manuel Neuer,1986-03-27,Germany,2011-07-01,Germany,1,193,93,Goalkeeper
43,Oliver Baumann,1990-06-02,Germany,2014-07-01,Germany,1,187,82,Goalkeeper
44,Anton Stach,1998-11-15,Germany,2021-07-31,Germany,6,193,86,Midfielder
45,Ilkay Guendogan,1990-10-24,Germany,2016-07-01,Germany,8,180,80,Midfielder
46,Jonas Hofmann,1992-07-14,Germany,2016-01-01,Germany,23,176,73,Midfielder
47,Joshua Kimmich,1995-02-08,Germany,2015-07-01,Germany,6,177,75,Midfielder
48,Julian Brandt,1996-05-02,Germany,2019-07-01,Germany,19,185,83,Midfielder
49,Kai Havertz,1999-06-11,Germany,2020-09-04,Germany,29,188,83,Midfielder
50,Leon Goretzka,1995-02-06,Germany,2018-07-01,Germany,8,189,82,Midfielder
51,Marco Reus,1989-05-31,Germany,2012-07-01,Germany,11,180,71,Midfielder
52,Cesar Azpilicueta,1989-08-28,Spain,2012-08-24,Spain,28,178,76,Defender
53,Daniel Carvajal,1992-01-11,Spain,2013-07-01,Spain,2,173,73,Defender
54,Diego Llorente,1993-08-16,Spain,2020-09-24,Spain,14,186,75,Defender
55,Eric Garcia,2001-01-09,Spain,2021-07-01,Spain,24,182,76,Defender
56,Inigo Martinez,1991-05-17,Spain,2018-01-30,Spain,4,182,76,Defender
57,Jordi Alba,1989-03-21,Spain,2012-07-01,Spain,18,170,68,Defender
58,Marcos Alonso,1990-12-28,Spain,2022-09-02,Spain,17,188,84,Defender
59,Pau Torres,1997-01-16,Spain,2019-07-01,Spain,4,191,80,Defender
60,Alvaro Morata,1992-10-23,Spain,2020-08-04,Spain,19,190,84,Forward
61,Anssumane Fati,2002-10-31,Spain,2019-08-24,Spain,10,178,66,Forward
62,Ferran Torres,2000-02-29,Spain,2022-01-11,Spain,11,184,77,Forward
63,Marco Asensio,1996-01-21,Spain,2014-12-05,Spain,11,182,76,Forward
64,Raul de Tomas,1994-10-17,Spain,2020-01-09,Spain,11,180,72,Forward
65,David Raya Martin,1995-09-15,Spain,2019-07-06,Spain,1,183,80,Goalkeeper
66,Robert Sanchez,1997-11-18,Spain,2019-01-25,Spain,1,197,90,Goalkeeper
67,Unai Simon,1997-06-11,Spain,2016-01-10,Spain,1,190,88,Goalkeeper
68,Carlos Soler,1997-01-02,Spain,2022-09-01,Spain,28,180,76,Midfielder
69,Dani Olmo,1998-05-07,Spain,2020-01-25,Spain,7,179,72,Midfielder
70,Gavi,2004-08-05,Spain,2021-07-20,Spain,30,173,70,Midfielder
71,Koke,1992-01-08,Spain,2009-09-01,Spain,6,176,77,Midfielder
72,Marcos Llorente,1995-01-30,Spain,2019-07-01,Spain,14,184,74,Midfielder
73,Pablo Sarabia,1992-05-11,Spain,2019-07-02,Spain,19,174,70,Midfielder
74,Rodri,1996-06-22,Spain,2019-07-04,Spain,16,191,82,Midfielder
75,Sergio Busquets,1988-07-16,Spain,2008-07-29,Spain,5,189,76,Midfielder
76,David Carmo,1999-07-19,Portugal,2022-07-05,Portugal,4,194,76,Defender
77,Diogo Dalot,1999-03-18,Portugal,2018-06-08,Portugal,20,183,76,Defender
78,Domingos Duarte,1995-03-10,Portugal,2022-07-11,Portugal,6,192,80,Defender
79,Joao Cancelo,1994-05-27,Portugal,2019-08-07,Portugal,7,182,74,Defender
80,Nuno Mendes,2002-06-19,Portugal,2022-06-10,Portugal,25,176,70,Defender
81,Pepe,1983-02-26,Portugal,2019-01-08,Portugal,3,188,81,Defender
82,Raphael Guerreiro,1993-12-22,Portugal,2016-07-01,Portugal,13,170,71,Defender
83,Andre Silva,1995-11-06,Portugal,2021-07-02,Portugal,19,185,84,Forward
84,Cristiano Ronaldo,1985-02-05,Portugal,2021-08-31,Portugal,7,187,83,Forward
85,Diogo Jota,1996-12-04,Portugal,2020-09-19,Portugal,20,178,68,Forward
86,Goncalo Guedes,1996-11-29,Portugal,2022-08-08,Portugal,17,179,68,Forward
87,Rafael Leao,1999-06-10,Portugal,2019-08-01,Portugal,17,188,81,Forward
88,Ricardo Horta,1994-09-15,Portugal,2014-09-01,Portugal,Unknown,173,61,Forward
89,Diogo Costa,1999-09-19,Portugal,2018-07-01,Portugal,99,186,81,Goalkeeper
90,Rui Patricio,1988-02-15,Portugal,2021-07-13,Portugal,1,190,84,Goalkeeper
91,Rui Silva,1994-02-07,Portugal,2021-07-01,Portugal,13,191,91,Goalkeeper
92,Bernardo Silva,1994-08-10,Portugal,2017-07-01,Portugal,20,173,64,Midfielder
93,Bruno Fernandes,1994-09-08,Portugal,2020-01-30,Portugal,8,179,69,Midfielder
94,Danilo Pereira,1991-09-09,Portugal,2021-07-01,Portugal,15,188,83,Midfielder
95,Joao Moutinho,1986-09-08,Portugal,2018-07-24,Portugal,28,170,61,Midfielder
96,Joao Palhinha,1995-07-09,Portugal,2022-07-04,Portugal,26,190,85,Midfielder
97,Matheus Nunes,1998-08-27,Portugal,2022-08-18,Portugal,27,183,76,Midfielder
98,Otavio,1995-02-09,Portugal,2014-09-01,Portugal,25,171,65,Midfielder
99,Ruben Neves,1997-03-13,Portugal,2017-07-08,Portugal,8,180,80,Midfielder
100,Vitor Ferreira,2000-02-13,Portugal,2022-07-01,Portugal,17,172,64,Midfielder
101,William Carvalho,1992-04-07,Portugal,2018-07-13,Portugal,14,187,79,Midfielder
102,Arthur Theate,2000-05-25,Belgium,2022-07-29,Belgium,5,0,0,Defender
103,Brandon Mechele,1993-01-28,Belgium,2012-07-01,Belgium,44,190,81,Defender
104,Dedryck Boyata,1990-11-28,Belgium,2022-08-22,Belgium,28,188,84,Defender
105,Jan Vertonghen,1987-04-24,Belgium,2007-05-01,Belgium,Unknown,189,79,Defender
106,Jason Denayer,1995-06-28,Belgium,2014-10-07,Belgium,Unknown,184,70,Defender
107,Thomas Foket,1994-09-25,Belgium,2018-08-31,Belgium,32,177,72,Defender
108,Thomas Meunier,1991-09-12,Belgium,2020-07-01,Belgium,24,191,90,Defender
109,Timothy Castagne,1995-12-05,Belgium,2020-09-03,Belgium,27,185,80,Defender
110,Toby Alderweireld,1989-03-02,Belgium,2009-07-01,Belgium,Unknown,186,81,Defender
111,Wout Faes,1998-04-03,Belgium,2022-09-01,Belgium,Unknown,187,84,Defender
112,Eden Hazard,1991-01-07,Belgium,2019-07-01,Belgium,7,175,74,Forward
113,Leandro Trossard,1994-12-04,Belgium,2019-06-26,Belgium,11,171,61,Forward
114,Lois Openda,2000-02-16,Belgium,2022-07-06,Belgium,11,175,0,Forward
115,Michy Batshuayi,1993-10-02,Belgium,2014-05-12,Belgium,Unknown,184,76,Forward
116,Romelu Lukaku,1993-05-13,Belgium,2022-07-01,Belgium,90,190,93,Forward
117,Koen Casteels,1992-06-25,Belgium,2015-07-01,Belgium,1,197,78,Goalkeeper
118,Matz Sels,1992-02-26,Belgium,2018-07-26,Belgium,1,188,75,Goalkeeper
119,Simon Mignolet,1988-03-06,Belgium,2019-08-05,Belgium,22,193,87,Goalkeeper
120,Thibaut Courtois,1992-05-11,Belgium,2018-08-08,Belgium,1,200,96,Goalkeeper
121,Adnan Januzaj,1995-02-05,Belgium,2022-08-31,Belgium,11,186,76,Midfielder
122,Alexis Saelemaekers,1999-06-27,Belgium,2020-09-01,Belgium,56,180,72,Midfielder
123,Amadou Mvom Onana,2001-08-16,Belgium,2022-08-09,Belgium,8,192,76,Midfielder
124,Axel Witsel,1989-01-12,Belgium,2022-07-06,Belgium,20,186,81,Midfielder
125,Charles De Ketelaere,2001-03-10,Belgium,2022-08-02,Belgium,90,192,74,Midfielder
126,Dennis Praet,1994-05-14,Belgium,2019-08-08,Belgium,26,181,78,Midfielder
127,Dries Mertens,1987-05-06,Belgium,2010-10-01,Belgium,14,169,61,Midfielder
128,Hans Vanaken,1992-08-24,Belgium,2015-06-22,Belgium,20,195,77,Midfielder
129,Leander Dendoncker,1995-04-15,Belgium,2022-09-01,Belgium,32,188,83,Midfielder
130,Thorgan Hazard,1993-03-29,Belgium,2019-07-01,Belgium,10,175,71,Midfielder
131,Yannick Carrasco,1993-09-04,Belgium,2020-09-08,Belgium,21,185,73,Midfielder
132,Youri Tielemans,1997-05-07,Belgium,2019-07-08,Belgium,8,176,72,Midfielder
133,Mikael Lustig,1986-12-13,Sweden,2008-07-01,Sweden,2,189,78,Defender
134,Emil Krafth,1994-08-02,Sweden,2019-08-08,Sweden,17,184,83,Defender
135,Filip Helander,1993-04-22,Sweden,2019-07-13,Sweden,5,192,81,Defender
136,Ludwig Augustinsson,1994-04-21,Sweden,2022-07-11,Sweden,17,181,74,Defender
137,Marcus Danielson,1989-04-08,Sweden,2019-10-07,Sweden,Unknown,192,80,Defender
138,Pierre Bengtsson,1988-04-12,Sweden,2011-01-18,Sweden,5,175,77,Defender
139,Pontus Jansson,1991-02-13,Sweden,2019-07-08,Sweden,18,194,89,Defender
140,Victor Lindeloef,1994-07-17,Sweden,2017-07-01,Sweden,2,187,80,Defender
141,Alexander Isak,1999-09-21,Sweden,2022-08-26,Sweden,14,192,77,Forward
142,Emil Forsberg,1991-10-23,Sweden,2015-01-07,Sweden,10,177,76,Forward
143,Jordan Larsson,1997-06-20,Sweden,2022-08-05,Sweden,7,175,69,Forward
144,Marcus Berg,1986-08-17,Sweden,2007-07-01,Sweden,9,184,75,Forward
145,Robin Quaison,1993-10-09,Sweden,2013-01-20,Sweden,Unknown,183,76,Forward
146,Karl-Johan Johnsson,1990-01-28,Sweden,2019-07-12,Sweden,21,188,84,Goalkeeper
147,Kristoffer Nordfeldt,1989-06-23,Sweden,2011-01-01,Sweden,Unknown,190,85,Goalkeeper
148,Robin Olsen,1990-01-08,Sweden,2022-06-10,Sweden,25,198,89,Goalkeeper
149,Albin Ekdal,1989-07-28,Sweden,2022-07-13,Sweden,8,186,75,Midfielder
150,Dejan Kulusevski,2000-04-25,Sweden,2022-01-31,Sweden,21,186,80,Midfielder
151,Gustav Svensson,1987-02-07,Sweden,2009-01-23,Sweden,13,184,83,Midfielder
152,Jens Cajuste,1999-08-10,Sweden,2022-01-10,Sweden,8,188,77,Midfielder
153,Ken Sema,1993-09-30,Sweden,2018-07-05,Sweden,12,180,69,Midfielder
154,Kristoffer Olsson,1995-06-30,Sweden,2017-01-04,Sweden,Unknown,178,70,Midfielder
155,Sebastian Larsson,1985-06-06,Sweden,2007-10-01,Sweden,7,178,70,Midfielder
