2,Harry Maguire,England,Defender
3,James Justin,England,Defender
4,John Stones,England,Defender
5,6,4,8
6,Kyle Walker,England,Defender
7,,,
9,Trent Alexander-Arnold,England,Defender
10,Harry Kane,England,Forward
11,Jarrod Bowen,England,Forward
12,Raheem Sterling,England,Forward
13,Tammy Abraham,England,Forward
14,Aaron Ramsdale,England,Goalkeeper
15,Jordan Pickford,England,Goalkeeper
16,Nick Pope,England,Goalkeeper
17,Bukayo Saka,England,Midfielder
18,Conor Gallagher,England,Midfielder
19,Declan Rice,England,Midfielder
20,Jack Grealish,England,Midfielder
21,James Ward-Prowse,England,Midfielder
22,Jude Bellingham,England,Midfielder
23,Kalvin Phillips,England,Midfielder
24,Mason Mount,England,Midfielder
25,Phil Foden,England,Midfielder
26,Antonio Ruediger,Germany,Defender
27,Benjamin Henrichs,Germany,Defender
28,David Raum,Germany,Defender
29,Jonathan Tah,Germany,Defender
30,Lukas Klostermann,Germany,Defender
31,Nico Schlotterbeck,Germany,Defender
32,Niklas Suele,Germany,Defender
33,Thilo Kehrer,Germany,Defender
34,Jamal Musiala,Germany,Forward
35,Karim Adeyemi,Germany,Forward
36,Leroy Sane,Germany,Forward
37,Lukas Nmecha,Germany,Forward
38,Serge Gnabry,Germany,Forward
39,Thomas Mueller,Germany,Forward
40,Timo Werner,Germany,Forward
41,Kevin Trapp,Germany,Goalkeeper
42,Manuel Neuer,Germany,Goalkeeper
43,Oliver Baumann,Germany,Goalkeeper
44,Anton Stach,Germany,Midfielder
45,Ilkay Guendogan,Germany,Midfielder
46,Jonas Hofmann,Germany,Midfielder
47,Joshua Kimmich,Germany,Midfielder
48,Julian Brandt,Germany,Midfielder
49,Kai Havertz,Germany,Midfielder
50,Leon Goretzka,Germany,Midfielder
51,Marco Reus,Germany,Midfielder
52,Cesar Azpilicueta,Spain,Defender
53,Daniel Carvajal,Spain,Defender
54,Diego Llorente,Spain,Defender
55,Eric Garcia,Spain,Defender
56,Inigo Martinez,Spain,Defender
57,Jordi Alba,Spain,Defender
58,Marcos Alonso,Spain,Defender
59,Pau Torres,Spain,Defender
60,Alvaro Morata,Spain,Forward
61,Anssumane Fati,Spain,Forward
62,Ferran Torres,Spain,Forward
63,Marco Asensio,Spain,Forward
64,Raul de Tomas,Spain,Forward
65,David Raya Martin,Spain,Goalkeeper
66,Robert Sanchez,Spain,Goalkeeper
68,Carlos Soler,Spain,Midfielder
69,Dani Olmo,Spain,Midfielder
70,Gavi,Spain,Midfielder
71,Koke,Spain,Midfielder
72,Marcos Llorente,Spain,Midfielder
73,Pablo Sarabia,Spain,Midfielder
74,Rodri,Spain,Midfielder
75,Sergio Busquets,Spain,Midfielder
77,Diogo Dalot,Portugal,Defender
78,Domingos Duarte,Portugal,Defender
79,Joao Cancelo,Portugal,Defender
81,Pepe,Portugal,Defender
82,Raphael Guerreiro,Portugal,Defender
83,Andre Silva,Portugal,Forward
84,Cristiano Ronaldo,Portugal,Forward
85,Diogo Jota,Portugal,Forward
86,Goncalo Guedes,Portugal,Forward
87,Rafael Leao,Portugal,Forward
88,Ricardo Horta,Portugal,Forward
89,Diogo Costa,Portugal,Goalkeeper
90,Rui Patricio,Portugal,Goalkeeper
91,Rui Silva,Portugal,Goalkeeper
92,Bernardo Silva,Portugal,Midfielder
93,Bruno Fernandes,Portugal,Midfielder
94,Danilo Pereira,Portugal,Midfielder
95,Joao Moutinho,Portugal,Midfielder
96,Joao Palhinha,Portugal,Midfielder
97,Matheus Nunes,Portugal,Midfielder
98,Otavio,Portugal,Midfielder
